Dataset,Model,train_split,avg_OA,avg_AA,avg_Kappa,num_runs
KSC,DBNN,0.1,0.9563266524520255,0.8710320286410876,0.9563133290680315,5
KSC,NOAT,0.1,0.9004690831556502,0.7909031730875089,0.9004478566858605,5
KSC,NOGUIDE,0.1,0.9319402985074626,0.8276743282404926,0.9319257837492003,5
KSC,NOMULTI,0.1,0.9292537313432836,0.8277486423812814,0.9292386436340371,5
KSC,NOPCA,0.1,0.8288557213930349,0.6872750834425965,0.8288192222933106,6
KSC,NORES,0.1,0.916545842217484,0.80582455703597,0.9165280443591385,5
KSC,NOTR,0.1,0.9278038379530915,0.8164513464173362,0.927788441032203,5
KSC,SVM,0.1,0.5684434968017058,0.4679675756270215,0.5198617170020887,1
