Dataset,Model,train_split,avg_OA,avg_AA,avg_Kappa,num_runs
PU,DBNN,0.1,0.9978679349593496,0.896309889904624,0.9978677660138189,5
PU,NOAT,0.1,0.9951063663991274,0.8917017064528332,0.9951062392851575,5
PU,NOGUIDE,0.1,0.9965350061040545,0.8952622652737036,0.996534947269988,5
PU,NOMULTI,0.1,0.9970363126314968,0.8949637337663103,0.9970362616239805,5
PU,NOPCA,0.1,0.989203182766652,0.8883364781344021,0.9892029023152719,6
PU,NORES,0.1,0.9950648588275021,0.8948344771085829,0.9950647825861083,5
PU,NOTR,0.1,0.9930699498688277,0.8899757285248369,0.9930697698581745,5
PU,SVM,0.1,0.9305436504844282,0.9335471054922103,0.9087387289116764,2
